bug_bounty,business_impact,company_size,confidence,domain,error,estimated_budget,industry,likely_vulns,name,reason,scored_at,security_posture,size,total_score,visibility
6,18,14,high,www.taskrabbit.com,,$1M+,7,"['Insecure API endpoints', 'Missing security headers']",TaskRabbit,"Handles sensitive user data and transactions, critical f for maintaining trust and compliance.",2026-06-26T22:21:24.399788,25,enterprise,83,13
5,18,10,high,www.grammarly.com,,$1M - $5M annually,9,"['Weak HTTP headers (e.g., missing HSTS, CSP)', 'Endpoints with insufficient security measures', 'Data leakage through misconfigured APIs']",Grammarly,"Processes personal and professional writing, requiring r robust security to protect user content and privacy.",2026-06-26T22:21:38.586653,24,mid-market,80,14
,,,,www.squarespace.com,Scoring failed,,"e-commerce, web design",,SquareSpace,"Facilitates online transactions and stores personal info information, necessitating secure web applications to protect customers' da data.",,,enterprise,0,
5,18,9,high,www.plaid.com,,moderate to high,9,"['Weak security headers, endpoint misconfigurations']",Plaid,"Involves sensitive financial transactions and personal i information, making security a top priority to prevent fraud and data breac breaches.",2026-06-26T22:22:23.547317,24,mid-market,79,14
,,,,www.crisp.chat,Scoring failed,,"SaaS, customer support tools",,Crisp,"Handles customer interactions and personal information,  requiring secure web applications to maintain trust with users.",,,mid-market,0,
8,18,15,high,www.airbnb.com,,substantial,9,"['Third-party integration vulnerabilities', 'API securi security issues']",Airbnb,"Processes payments and manages user data for travel book bookings, necessitating strong security measures to protect against fraud a and privacy breaches.",2026-06-26T22:22:57.101620,23,enterprise,98,15
3,15,12,high,www.asana.com,,$500k - $1M annually,9,"['Misconfigured security headers', 'Potential vulnerabilities in third-party libraries', 'Insufficient API security measures']",Asana,"Manages sensitive project data and user interactions, re requiring secure web applications to protect against unauthorized access.",2026-06-26T22:23:17.940283,20,mid-market,73,14
7,18,7,high,www.zendesk.com,,High budget capability,9,"['API misconfigurations', 'Third-party library vulnerabil vulnerabilities']",Zendesk,"Handles large volumes of personal data and transactions, transactions, making security a critical aspect to maintain user trust.",2026-06-26T22:23:29.730400,25,enterprise,84,14
,,,,www.docusign.com,Scoring failed,,"fintech, document management",,DocuSign,"Processes sensitive financial documents and personal inf information, requiring robust security measures to prevent data breaches.",,,enterprise,0,
6,18,14,medium,www.hootsuite.com,,high,9,"['Misconfigured HTTP headers (e.g., missing Content Secur Security Policy)', 'Insecure API endpoints', 'Third-party library vulnerabi vulnerabilities', 'Potential business logic flaws']",Hootsuite,"Manages user data and handles sensitive communications,  necessitating secure web applications to protect against privacy violations violations.",2026-06-26T22:24:19.303621,25,enterprise,85,13
